"time","y_0","y_1","y_2"
3.15,-5.0730802129983600E-003,1.5926610000231003E-002,3.0214363100000224E+001
3.16,-1.4135862126170715E-001,1.5926610000231003E-002,3.0214363100000224E+001
3.17,-6.7746948382116012E-001,-1.8418779999976442E-001,2.9814541200000239E+001
3.18,-1.6128695128397084E+000,-1.8418779999976442E-001,2.9814541200000239E+001
3.19,-2.9466234746855231E+000,-3.8511169999975881E-001,2.9814541200000239E+001
3.2,-4.6773973243582523E+000,-3.8511169999975881E-001,2.9814541200000239E+001
3.21,-6.8034600757498422E+000,-5.8772309999975203E-001,2.9399484900000257E+001
3.22,-9.3226846259029816E+000,-5.8772309999975203E-001,2.9399484900000257E+001
3.23,-1.2232550648926793E+001,-7.9289609999974342E-001,2.9399484900000257E+001
3.24,-1.5530145992911411E+001,-7.9289609999974342E-001,2.9399484900000257E+001
3.25,-1.9212170160340097E+001,-1.0014993999997350E+000,2.8962192600000286E+001
3.26,-2.3274936144117877E+001,-1.0014993999997350E+000,2.8962192600000286E+001
3.27,-2.7714374757885516E+001,-1.2143944999997291E+000,2.8962192600000286E+001
3.28,-3.2526038751024927E+001,-1.2143944999997291E+000,2.8962192600000286E+001
3.29,-3.7705105273480825E+001,-1.4324334999997177E+000,2.8495757500000309E+001
3.3,-4.3246380883961564E+001,-1.4324334999997177E+000,2.8495757500000309E+001
3.31,-4.9144308831616364E+001,-1.6564573999997059E+000,2.8495757500000309E+001
3.32,-5.5392968145536457E+001,-1.6564573999997059E+000,2.8495757500000309E+001
3.33,-6.1986086103965860E+001,-1.8872945999996888E+000,2.7993425400000344E+001
3.34,-6.8917040085699369E+001,-1.8872945999996888E+000,2.7993425400000344E+001
3.35,-7.6178861056051574E+001,-2.1257583999996745E+000,2.7993425400000344E+001
3.36,-8.3764250050820223E+001,-2.1257583999996745E+000,2.7993425400000344E+001
3.37,-9.1665561556034362E+001,-2.3726460999996597E+000,2.7448649900000383E+001
3.38,-9.9874848442667130E+001,-2.3726460999996597E+000,2.7448649900000383E+001
3.39,-1.0838383480462591E+002,-2.6287362999996411E+000,2.7448649900000383E+001
3.4,-1.1718393447024448E+002,-2.6287362999996411E+000,2.7448649900000383E+001
