"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
1.541,2.9990516612109581E+000,4.9990516612109577E+000,1.4990516612109581E+000,1.6991939120293145E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9684588052579115E+000
1.561,2.9998834404599326E+000,4.9998834404599322E+000,1.4998834404599326E+000,1.6999009243909426E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9291490029147549E+000
1.581,2.9999152929974802E+000,4.9999152929974802E+000,1.4999152929974802E+000,1.6999279990478582E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8743326445145243E+000
1.601,2.9991472060830100E+000,4.9991472060830100E+000,1.4991472060830102E+000,1.6992751251705587E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8042260651806146E+000
1.621,2.9975794869410479E+000,4.9975794869410475E+000,1.4975794869410479E+000,1.6979425638998906E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.7191059435530049E+000
1.641,2.9952127626383476E+000,4.9952127626383476E+000,1.4952127626383473E+000,1.6959308482425952E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.6193082098640783E+000
1.661,2.9920479798330737E+000,4.9920479798330737E+000,1.4920479798330735E+000,1.6932407828581124E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.5052267201754534E+000
1.681,2.9880864043961521E+000,4.9880864043961521E+000,1.4880864043961519E+000,1.6898734437367291E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.3773117020080621E+000
1.701,2.9833296209049371E+000,4.9833296209049376E+000,1.4833296209049371E+000,1.6858301777691966E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.2360679774997902E+000
1.721,2.9777795320094027E+000,4.9777795320094027E+000,1.4777795320094029E+000,1.6811126022079925E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.0820529711031583E+000
1.741,2.9714383576711070E+000,4.9714383576711070E+000,1.4714383576711070E+000,1.6757226040204409E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.9158745096856462E+000
1.761,2.9643086342752367E+000,4.9643086342752367E+000,1.4643086342752369E+000,1.6696623391339513E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.7381884237147558E+000
1.781,2.9563932136160895E+000,4.9563932136160895E+000,1.4563932136160893E+000,1.6629342315736759E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5496959589947585E+000
1.801,2.9476952617563903E+000,4.9476952617563903E+000,1.4476952617563903E+000,1.6555409724929318E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.3511410091698934E+000
1.821,2.9382182577609126E+000,4.9382182577609122E+000,1.4382182577609126E+000,1.6474855190967757E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.1433071799159853E+000
1.841,2.9279659923048964E+000,4.9279659923048964E+000,1.4279659923048962E+000,1.6387710934591617E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.9270146964068613E+000
1.861,2.9169425661578283E+000,4.9169425661578288E+000,1.4169425661578283E+000,1.6294011812341540E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.7031171662602889E+000
1.881,2.9051523885431907E+000,4.9051523885431907E+000,1.4051523885431907E+000,1.6193795302617122E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.4724982107387115E+000
1.901,2.8926001753748292E+000,4.8926001753748292E+000,1.3926001753748289E+000,1.6087101490686047E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.2360679774997907E+000
1.921,2.8792909473706496E+000,4.8792909473706496E+000,1.3792909473706498E+000,1.5973973052650523E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-9.9475954865942140E-001
1.941,2.8652300280444010E+000,4.8652300280444010E+000,1.3652300280444010E+000,1.5854455238377407E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-7.4952525834289874E-001
1.961,2.8504230415763363E+000,4.8504230415763363E+000,1.3504230415763365E+000,1.5728595853398861E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-5.0133293425721859E-001
1.981,2.8348759105636194E+000,4.8348759105636194E+000,1.3348759105636196E+000,1.5596445239790766E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5116207811725305E-001
2.001,2.8185948536513634E+000,4.8185948536513639E+000,1.3185948536513634E+000,1.5458056256036590E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-9.7971743931788257E-016,-9.7971743931788257E-016
2.021,2.8015863830452545E+000,4.8015863830452545E+000,1.3015863830452545E+000,1.5313484255884664E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5116207811725111E-001
2.041,2.7838573019067594E+000,4.7838573019067594E+000,1.2838573019067592E+000,1.5162787066207453E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,5.0133293425721670E-001
2.061,2.7654147016319479E+000,4.7654147016319479E+000,1.2654147016319481E+000,1.5006024963871560E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,7.4952525834289685E-001
2.081,2.7462659590150329E+000,4.7462659590150329E+000,1.2462659590150329E+000,1.4843260651627781E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,9.9475954865941951E-001
2.101,2.7264187332977476E+000,4.7264187332977476E+000,1.2264187332977474E+000,1.4674559233030853E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.2360679774997887E+000
2.121,2.7058809631057521E+000,4.7058809631057521E+000,1.2058809631057523E+000,1.4499988186398896E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.4724982107387128E+000
2.141,2.6846608632732911E+000,4.6846608632732911E+000,1.1846608632732913E+000,1.4319617337822976E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.7031171662602902E+000
2.161,2.6627669215573659E+000,4.6627669215573659E+000,1.1627669215573662E+000,1.4133518833237613E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.9270146964068626E+000
2.181,2.6402078952427481E+000,4.6402078952427477E+000,1.1402078952427481E+000,1.3941767109563359E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.1433071799159866E+000
2.201,2.6169928076391802E+000,4.6169928076391802E+000,1.1169928076391802E+000,1.3744438864933031E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.3511410091698943E+000
2.221,2.5931309444721728E+000,4.5931309444721728E+000,1.0931309444721731E+000,1.3541613028013471E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5496959589947599E+000
2.241,2.5686318501688397E+000,4.5686318501688401E+000,1.0686318501688397E+000,1.3333370726435136E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.7381884237147567E+000
2.261,2.5435053240402512E+000,4.5435053240402512E+000,1.0435053240402514E+000,1.3119795254342137E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.9158745096856475E+000
2.281,2.5177614163618438E+000,4.5177614163618438E+000,1.0177614163618436E+000,1.2900972039075671E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
2.301,2.4914104243534401E+000,4.4914104243534396E+000,9.9141042435344007E-001,1.2676988607004240E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
2.321,2.4644628880605026E+000,4.4644628880605026E+000,9.6446288806050284E-001,1.2447934548514274E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
2.341,2.4369295861382527E+000,4.4369295861382527E+000,9.3692958613825250E-001,1.2213901482175147E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
2.361,2.4088215315403527E+000,4.4088215315403527E+000,9.0882153154035250E-001,1.1974983018092997E+000,1,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
