"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
1.2,-4.3116142891663999E-012,1.4695486455614853E+001,1.4695496154210574E+001,8.6000000002579455E+001,8.6000000003289358E+001,-4.1586362696233662E-015,1.7882155460358716E-013
1.21,-4.3025945346275842E-012,1.4695486455630162E+001,1.4695496154230950E+001,8.6000000002579611E+001,8.6000000003289756E+001,-4.6070603782943063E-015,1.7674224151295319E-013
1.22,-4.2938073742533867E-012,1.4695486455645471E+001,1.4695496154251325E+001,8.6000000002579768E+001,8.6000000003290140E+001,-4.1586362696320303E-015,1.7882156743649056E-013
1.23,-4.2852368144165793E-012,1.4695486455660779E+001,1.4695496154271705E+001,8.6000000002579910E+001,8.6000000003290538E+001,-4.1586362696363611E-015,1.7882155460432387E-013
1.24,-4.2768880725149439E-012,1.4695486455676090E+001,1.4695496154292085E+001,8.6000000002580066E+001,8.6000000003290907E+001,-4.1586362696406919E-015,1.8082711984805154E-013
1.25,-4.2687535306238810E-012,1.4695486455691400E+001,1.4695496154312467E+001,8.6000000002580222E+001,8.6000000003291291E+001,-4.1586362696450220E-015,1.7882156743722780E-013
1.26,-4.2608623541267768E-012,1.4695486455706712E+001,1.4695496154332851E+001,8.6000000002580364E+001,8.6000000003291660E+001,-4.1586362696493544E-015,1.8082711984805152E-013
1.27,-4.2531874274082634E-012,1.4695486455722023E+001,1.4695496154353236E+001,8.6000000002580506E+001,8.6000000003292016E+001,-4.1586362696536869E-015,1.8044319814986035E-013
1.28,-4.2456920985962069E-012,1.4695486455737335E+001,1.4695496154373622E+001,8.6000000002580649E+001,8.6000000003292357E+001,-4.1586362696580185E-015,1.8082711984805154E-013
1.29,-4.2384045418794213E-012,1.4695486455752647E+001,1.4695496154394009E+001,8.6000000002580776E+001,8.6000000003292698E+001,-4.1586491020662097E-015,1.7882155460579946E-013
1.3,-4.2312875265895911E-012,1.4695486455767959E+001,1.4695496154414396E+001,8.6000000002580919E+001,8.6000000003293039E+001,-4.1586362696666833E-015,1.7882156743845789E-013
1.31,-4.2243625522415034E-012,1.4695486455783270E+001,1.4695496154434784E+001,8.6000000002581061E+001,8.6000000003293366E+001,-4.1586362696710134E-015,1.8044319814986035E-013
1.32,-4.2176623121685019E-012,1.4695486455798582E+001,1.4695496154455174E+001,8.6000000002581189E+001,8.6000000003293692E+001,-4.1586362696753474E-015,1.7882155460653811E-013
1.33,-4.2111265361773241E-012,1.4695486455813894E+001,1.4695496154475565E+001,8.6000000002581316E+001,8.6000000003294019E+001,-4.1586362696796782E-015,1.8082711984805152E-013
1.34,-4.2047536792674207E-012,1.4695486455829206E+001,1.4695496154495958E+001,8.6000000002581444E+001,8.6000000003294318E+001,-4.1586491020878695E-015,1.7882156743944312E-013
1.35,-4.1985617748346019E-012,1.4695486455844520E+001,1.4695496154516352E+001,8.6000000002581572E+001,8.6000000003294616E+001,-4.1586362696883439E-015,1.8082711984805154E-013
1.36,-4.1925407740626180E-012,1.4695486455859834E+001,1.4695496154536746E+001,8.6000000002581700E+001,8.6000000003294900E+001,-4.1586362696926763E-015,1.7882155460752377E-013
1.37,-4.1866734257163921E-012,1.4695486455875148E+001,1.4695496154557143E+001,8.6000000002581814E+001,8.6000000003295170E+001,-4.1586362696970111E-015,1.7882155460777032E-013
1.38,-4.1809901474529041E-012,1.4695486455890460E+001,1.4695496154577539E+001,8.6000000002581928E+001,8.6000000003295440E+001,-4.1586362697013427E-015,1.7882156744042924E-013
1.39,-4.1754655732274942E-012,1.4695486455905776E+001,1.4695496154597937E+001,8.6000000002582041E+001,8.6000000003295710E+001,-4.1586362697056752E-015,1.7882155460826358E-013
1.4,-4.1700768436702364E-012,1.4695486455921094E+001,1.4695496154618336E+001,8.6000000002582155E+001,8.6000000003295966E+001,-4.1586491021138680E-015,1.7882155460851029E-013
1.41,-4.1648361680925169E-012,1.4695486455936408E+001,1.4695496154638736E+001,8.6000000002582269E+001,8.6000000003296222E+001,-4.1586362697143424E-015,1.7882156744116935E-013
1.42,-4.1597289333762767E-012,1.4695486455951723E+001,1.4695496154659136E+001,8.6000000002582397E+001,8.6000000003296478E+001,-4.1586362697186748E-015,1.7882155460900388E-013
1.43,-4.1547481024544888E-012,1.4695486455967039E+001,1.4695496154679535E+001,8.6000000002582496E+001,8.6000000003296719E+001,-4.1586362697230080E-015,1.7882155460925066E-013
1.44,-4.1498566399503876E-012,1.4695486455982357E+001,1.4695496154699937E+001,8.6000000002582595E+001,8.6000000003296961E+001,-4.1586362697273436E-015,1.7882155460949761E-013
1.45,-4.1450979581249878E-012,1.4695486455997672E+001,1.4695496154720340E+001,8.6000000002582695E+001,8.6000000003297203E+001,-4.1586362697316760E-015,1.7882156744215681E-013
1.46,-4.1404944252272307E-012,1.4695486456012988E+001,1.4695496154740745E+001,8.6000000002582809E+001,8.6000000003297444E+001,-4.1586362697360100E-015,1.8082711984805154E-013
1.47,-4.1360055530506301E-012,1.4695486456028304E+001,1.4695496154761148E+001,8.6000000002582922E+001,8.6000000003297686E+001,-4.1586491021442005E-015,1.7882155461023851E-013
1.48,-4.1316433944506108E-012,1.4695486456043620E+001,1.4695496154781551E+001,8.6000000002583022E+001,8.6000000003297899E+001,-4.1586362697446764E-015,1.8082711984805152E-013
1.49,-4.1273885065045099E-012,1.4695486456058937E+001,1.4695496154801956E+001,8.6000000002583107E+001,8.6000000003298112E+001,-4.1586362697490089E-015,1.8044319814986035E-013
1.5,-4.1232385620954474E-012,1.4695486456074255E+001,1.4695496154822363E+001,8.6000000002583207E+001,8.6000000003298325E+001,-4.1586362697533429E-015,1.7882156744339207E-013
