"time","V","X"
1.949,-6.9310437857026874E-001,1.2050775854444338E+000
1.95,-6.9368259593933213E-001,1.2043844810658635E+000
1.951,-6.9426191416231831E-001,1.2036907984699243E+000
1.952,-6.9484233613397250E-001,1.2029965365557620E+000
1.953,-6.9542386475821871E-001,1.2023016942196281E+000
1.954,-6.9600650294819255E-001,1.2016062703548700E+000
1.955,-6.9659025362627403E-001,1.2009102638519218E+000
1.956,-6.9717511972412094E-001,1.2002136735982956E+000
1.957,-6.9776110418270187E-001,1.1995164984785716E+000
1.958,-6.9834820995232938E-001,1.1988187373743890E+000
1.959,-6.9893643999269384E-001,1.1981203891644367E+000
1.96,-6.9952579727289665E-001,1.1974214527244442E+000
1.961,-7.0011628477148424E-001,1.1967219269271714E+000
1.962,-7.0070790547648165E-001,1.1960218106423999E+000
1.963,-7.0130066238542654E-001,1.1953211027369235E+000
1.964,-7.0189455850540361E-001,1.1946198020745382E+000
1.965,-7.0248959685307821E-001,1.1939179075160329E+000
1.966,-7.0308578045473136E-001,1.1932154179191798E+000
1.967,-7.0368311234629366E-001,1.1925123321387252E+000
1.968,-7.0428159557338010E-001,1.1918086490263791E+000
1.969,-7.0488123319132512E-001,1.1911043674308057E+000
1.97,-7.0548202826521678E-001,1.1903994861976144E+000
1.971,-7.0608398386993243E-001,1.1896940041693493E+000
1.972,-7.0668710309017357E-001,1.1889879201854794E+000
1.973,-7.0729138902050082E-001,1.1882812330823893E+000
1.974,-7.0789684476536985E-001,1.1875739416933688E+000
1.975,-7.0850347343916653E-001,1.1868660448486035E+000
1.976,-7.0911127816624275E-001,1.1861575413751644E+000
1.977,-7.0972026208095218E-001,1.1854484300969983E+000
1.978,-7.1033042832768600E-001,1.1847387098349174E+000
1.979,-7.1094178006090936E-001,1.1840283794065898E+000
1.98,-7.1155432044519717E-001,1.1833174376265290E+000
1.981,-7.1216805265527061E-001,1.1826058833060837E+000
1.982,-7.1278297987603378E-001,1.1818937152534286E+000
1.983,-7.1339910530260997E-001,1.1811809322735527E+000
1.984,-7.1401643214037847E-001,1.1804675331682501E+000
1.985,-7.1463496360501166E-001,1.1797535167361100E+000
1.986,-7.1525470292251192E-001,1.1790388817725050E+000
1.987,-7.1587565332924863E-001,1.1783236270695827E+000
1.988,-7.1649781807199553E-001,1.1776077514162535E+000
1.989,-7.1712120040796834E-001,1.1768912535981817E+000
1.99,-7.1774580360486218E-001,1.1761741323977739E+000
1.991,-7.1837163094088929E-001,1.1754563865941692E+000
1.992,-7.1899868570481684E-001,1.1747380149632283E+000
1.993,-7.1962697119600505E-001,1.1740190162775235E+000
1.994,-7.2025649072444509E-001,1.1732993893063275E+000
1.995,-7.2088724761079781E-001,1.1725791328156032E+000
1.996,-7.2151924518643151E-001,1.1718582455679925E+000
