"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
1.39954,-6.2303344322108014E-007,1.4700100467883095E+001,1.4701650666584165E+001,8.6000015376461761E+001,8.6000005392557824E+001,6.3229261909063980E-010,-1.0112433763099329E-010
1.40954,-6.0663653859679011E-007,1.4700100522017955E+001,1.4701650672140163E+001,8.6000015021835623E+001,8.6000005265532081E+001,6.1458166672200013E-010,-9.8330640825416139E-011
1.41953,-5.9067726455228191E-007,1.4700100574531032E+001,1.4701650677211628E+001,8.6000014677227014E+001,8.6000005142941831E+001,5.9728462828677503E-010,-9.5613911099063999E-011
1.42953,-5.7511195346818334E-007,1.4700100625548828E+001,1.4701650681821107E+001,8.6000014341463242E+001,8.6000005024355687E+001,5.8035574442501457E-010,-9.2967907862415835E-011
1.43953,-5.5994566048663331E-007,1.4700100675039501E+001,1.4701650685974441E+001,8.6000014014447345E+001,8.6000004909712985E+001,5.6380125508342537E-010,-9.0388470735305190E-011
1.44952,-5.4518238951908842E-007,1.4700100722977684E+001,1.4701650689678354E+001,8.6000013696084054E+001,8.6000004798940154E+001,5.4762116026516103E-010,-8.7881840321221994E-011
1.45952,-5.3078250404127753E-007,1.4700100769481798E+001,1.4701650692949466E+001,8.6000013385360361E+001,8.6000004691637301E+001,5.3177386055895432E-010,-8.5437615624185712E-011
1.46952,-5.1675133211399574E-007,1.4700100814526134E+001,1.4701650695792381E+001,8.6000013082257666E+001,8.6000004587744129E+001,5.1626975585099841E-010,-8.3057876841308777E-011
1.47951,-5.0309312942346000E-007,1.4700100858091659E+001,1.4701650698212877E+001,8.6000012786759243E+001,8.6000004487193848E+001,5.0111300609670903E-010,-8.0742623985796352E-011
1.48951,-4.8977168123533723E-007,1.4700100900290090E+001,1.4701650700223173E+001,8.6000012497993723E+001,8.6000004389625815E+001,4.8627033177595216E-010,-7.8481456100055816E-011
