"time","part5_displacement_output"
8.985,2.5712794282269004E+02
8.986,2.5739933592786520E+02
8.987,2.5767047997871140E+02
8.988,2.5794137536910762E+02
8.989,2.5821202167563274E+02
8.99,2.5848241847634250E+02
8.991,2.5875256616504817E+02
8.992,2.5902246432050993E+02
8.993,2.5929211252296665E+02
8.994,2.5956151116615592E+02
8.995,2.5983065983101966E+02
8.996,2.6009955809998212E+02
8.997,2.6036820636670029E+02
8.998,2.6063660421430131E+02
8.999,2.6090475122739417E+02
9,2.6117264779955400E+02
9.001,2.6144029351608987E+02
9.002,2.6170768796379792E+02
9.003,2.6197483153616719E+02
9.004,2.6224172382069440E+02
9.005,2.6250836440635675E+02
9.006,2.6277475368655683E+02
9.007,2.6304089125097562E+02
9.008,2.6330677669077733E+02
9.009,2.6357241039927629E+02
9.01,2.6383779196833177E+02
9.011,2.6410292099130288E+02
9.012,2.6436779786140266E+02
9.013,2.6463242217268169E+02
9.014,2.6489679352068242E+02
9.015,2.6516091229852225E+02
9.016,2.6542477810244048E+02
9.017,2.6568839079501828E+02
9.018,2.6595174997471469E+02
9.019,2.6621485603451310E+02
9.02,2.6647770857356954E+02
9.021,2.6674030719253113E+02
9.022,2.6700265228427776E+02
9.023,2.6726474345015083E+02
9.024,2.6752658029299079E+02
9.025,2.6778816320556871E+02
9.026,2.6804949179141636E+02
9.027,2.6831056565556287E+02
9.028,2.6857138519067109E+02
9.029,2.6883195000246167E+02
9.03,2.6909225969815850E+02
9.031,2.6935231467030661E+02
9.032,2.6961211452682187E+02
9.033,2.6987165887711683E+02
9.034,2.7013094811362510E+02
9.035,2.7038998184645050E+02
9.036,2.7064875968720185E+02
9.037,2.7090728202819292E+02
9.038,2.7116554848172115E+02
9.039,2.7142355866158925E+02
9.04,2.7168131295998967E+02
9.041,2.7193881099141691E+02
9.042,2.7219605237186340E+02
9.043,2.7245303749340309E+02
9.044,2.7270976597272119E+02
9.045,2.7296623742800944E+02
9.046,2.7322245225121480E+02
9.047,2.7347841006121865E+02
9.048,2.7373411047841040E+02
9.049,2.7398955389460644E+02
9.05,2.7424473993088708E+02
9.051,2.7449966820983968E+02
9.052,2.7475433912314998E+02
9.053,2.7500875229409587E+02
9.054,2.7526290734746419E+02
9.055,2.7551680467480747E+02
9.056,2.7577044390160404E+02
9.057,2.7602382465483788E+02
9.058,2.7627694732593056E+02
9.059,2.7652981154255576E+02
9.06,2.7678241693390493E+02
9.061,2.7703476389125638E+02
9.062,2.7728685204448834E+02
9.063,2.7753868102499393E+02
9.064,2.7779025122391261E+02
9.065,2.7804156227332589E+02
9.066,2.7829261405905049E+02
9.067,2.7854340621541803E+02
9.068,2.7879393913338163E+02
9.069,2.7904421244795850E+02
9.07,2.7929422579568217E+02
9.071,2.7954397956736534E+02
9.072,2.7979347340022866E+02
9.073,2.8004270693301328E+02
9.074,2.8029168055638371E+02
9.075,2.8054039390976919E+02
9.076,2.8078884663411719E+02
9.077,2.8103703911994620E+02
9.078,2.8128497100889035E+02
9.079,2.8153264194410804E+02
9.08,2.8178005231596813E+02
9.081,2.8202720176831406E+02
9.082,2.8227408994651267E+02
9.083,2.8252071724078178E+02
9.084,2.8276708329717650E+02
9.085,2.8301318776327400E+02
9.086,2.8325903102914003E+02
9.087,2.8350461274304001E+02
9.088,2.8374993255476602E+02
9.089,2.8399499085422792E+02
9.09,2.8423978729190287E+02
9.091,2.8448432151979659E+02
9.092,2.8472859392766532E+02
9.093,2.8497260416820075E+02
9.094,2.8521635189562147E+02
9.095,2.8545983749952813E+02
9.096,2.8570306063482582E+02
9.097,2.8594602095795159E+02
9.098,2.8618871885834727E+02
9.099,2.8643115399313473E+02
9.1,2.8667332602096673E+02
9.101,2.8691523533112820E+02
9.102,2.8715688158295791E+02
9.103,2.8739826443732835E+02
9.104,2.8763938428336149E+02
9.105,2.8788024078261748E+02
9.106,2.8812083359818894E+02
9.107,2.8836116311903635E+02
9.108,2.8860122900893816E+02
9.109,2.8884103093321130E+02
9.11,2.8908056928065258E+02
9.111,2.8931984371726304E+02
9.112,2.8955885415069827E+02
9.113,2.8979760024923991E+02
9.114,2.9003608240146565E+02
9.115,2.9027430027634080E+02
9.116,2.9051225354437213E+02
9.117,2.9074994259397181E+02
9.118,2.9098736709633073E+02
9.119,2.9122452672418234E+02
9.12,2.9146142186577259E+02
