"time","TRes"
1.216,2.9882170327169166E+002
1.218,2.9882056893124172E+002
1.22,2.9881943481765990E+002
1.222,2.9881830093090076E+002
1.224,2.9881716727091896E+002
1.226,2.9881603383766918E+002
1.228,2.9881490063110607E+002
1.23,2.9881376765118426E+002
1.232,2.9881263489785840E+002
1.234,2.9881150237108324E+002
1.236,2.9881037007081341E+002
1.238,2.9880923799700366E+002
1.24,2.9880810614960865E+002
1.242,2.9880697452858311E+002
1.244,2.9880584313388181E+002
1.246,2.9880471196545943E+002
1.248,2.9880358102327074E+002
1.25,2.9880245030727048E+002
1.252,2.9880131981741340E+002
1.254,2.9880018955365432E+002
1.256,2.9879905951594799E+002
1.258,2.9879792970424921E+002
1.26,2.9879680011851275E+002
1.262,2.9879567075869346E+002
1.264,2.9879454162474610E+002
1.266,2.9879341271662554E+002
1.268,2.9879228403428658E+002
1.27,2.9879115557768409E+002
1.272,2.9879002734677294E+002
1.274,2.9878889934150800E+002
1.276,2.9878777156184407E+002
1.278,2.9878664400773607E+002
1.28,2.9878551667913888E+002
1.282,2.9878438957600741E+002
1.284,2.9878326269829660E+002
1.286,2.9878213604596129E+002
1.288,2.9878100961895649E+002
1.29,2.9877988341723704E+002
1.292,2.9877875744075800E+002
1.294,2.9877763168947422E+002
1.296,2.9877650616334068E+002
1.298,2.9877538086231237E+002
1.3,2.9877425578634427E+002
1.302,2.9877313093539135E+002
1.304,2.9877200630940865E+002
1.306,2.9877088190835116E+002
1.308,2.9876975773217384E+002
1.31,2.9876863378083175E+002
1.312,2.9876751005427997E+002
1.314,2.9876638655247348E+002
1.316,2.9876526327536737E+002
1.318,2.9876414022291664E+002
1.32,2.9876301739507642E+002
1.322,2.9876189479180175E+002
1.324,2.9876077241304773E+002
1.326,2.9875965025876945E+002
1.328,2.9875852832892207E+002
1.33,2.9875740662346067E+002
1.332,2.9875628514234035E+002
1.334,2.9875516388551625E+002
1.336,2.9875404285294348E+002
1.338,2.9875292204457725E+002
1.34,2.9875180146037269E+002
1.342,2.9875068110028496E+002
1.344,2.9874956096426928E+002
1.346,2.9874844105228078E+002
1.348,2.9874732136427468E+002
1.35,2.9874620190020619E+002
1.352,2.9874508266003050E+002
1.354,2.9874396364370284E+002
1.356,2.9874284485117846E+002
1.358,2.9874172628241257E+002
1.36,2.9874060793736044E+002
1.362,2.9873948981597732E+002
1.364,2.9873837191821849E+002
1.366,2.9873725424403921E+002
1.368,2.9873613679339473E+002
1.37,2.9873501956624040E+002
1.372,2.9873390256253151E+002
1.374,2.9873278578222335E+002
1.376,2.9873166922527122E+002
1.378,2.9873055289163051E+002
1.38,2.9872943678125654E+002
1.382,2.9872832089410463E+002
1.384,2.9872720523013015E+002
1.386,2.9872608978928844E+002
1.388,2.9872497457153491E+002
1.39,2.9872385957682496E+002
1.392,2.9872274480511390E+002
1.394,2.9872163025635723E+002
1.396,2.9872051593051026E+002
1.398,2.9871940182752849E+002
1.4,2.9871828794736729E+002
1.402,2.9871717428998215E+002
1.404,2.9871606085532846E+002
1.406,2.9871494764336171E+002
1.408,2.9871383465403738E+002
1.41,2.9871272188731092E+002
1.412,2.9871160934313775E+002
1.414,2.9871049702147343E+002
1.416,2.9870938492227344E+002
1.418,2.9870827304549329E+002
1.42,2.9870716139108850E+002
1.422,2.9870604995901459E+002
1.424,2.9870493874922710E+002
1.426,2.9870382776168157E+002
1.428,2.9870271699633355E+002
1.43,2.9870160645313860E+002
1.432,2.9870049613205231E+002
1.434,2.9869938603303024E+002
1.436,2.9869827615602793E+002
1.438,2.9869716650100105E+002
1.44,2.9869605706790514E+002
1.442,2.9869494785669588E+002
1.444,2.9869383886732885E+002
1.446,2.9869273009975967E+002
1.448,2.9869162155394400E+002
1.45,2.9869051322983751E+002
1.452,2.9868940512739584E+002
1.454,2.9868829724657468E+002
1.456,2.9868718958732967E+002
1.458,2.9868608214961648E+002
1.46,2.9868497493339083E+002
1.462,2.9868386793860844E+002
1.464,2.9868276116522503E+002
1.466,2.9868165461319626E+002
1.468,2.9868054828247790E+002
1.47,2.9867944217302568E+002
1.472,2.9867833628479536E+002
1.474,2.9867723061774268E+002
1.476,2.9867612517182340E+002
1.478,2.9867501994699330E+002
1.48,2.9867391494320822E+002
1.482,2.9867281016042386E+002
1.484,2.9867170559859608E+002
1.486,2.9867060125768063E+002
1.488,2.9866949713763336E+002
1.49,2.9866839323841009E+002
1.492,2.9866728955996672E+002
1.494,2.9866618610225902E+002
1.496,2.9866508286524288E+002
1.498,2.9866397984887413E+002
1.5,2.9866287705310862E+002
