"time","Capacitor1.i","IdealDiode3.v"
0.0728,-2.2337115765322500E+002,-3.4273039828769015E+002
0.073,-1.6485296401131896E+002,-3.1093842961856495E+002
0.0732,-9.6713802552091892E+001,-2.7936931005612064E+002
0.0734,-2.4192008229339418E+001,-2.4819093714267592E+002
0.0736,4.7384893698830226E+001,-2.1753623513593939E+002
0.0738,1.1273308861509283E+002,-1.8750252405514610E+002
0.074,1.6674393962226912E+002,-1.5815177224799456E+002
0.0742,2.0461105673319045E+002,-1.2951171488661245E+002
0.0744,2.2195011179769679E+002,-1.0157780135361210E+002
0.0746,2.1490871356231116E+002,-7.4315915954559827E+001
0.0748,1.8026388714386820E+002,-4.7665799199241690E+001
0.075,1.1550498591434008E+002,-2.1545081408233081E+001
0.0752,1.9002591468056863E+001,2.0002048020871781E+000
0.0754,-9.3890299633942163E+001,2.0332019720036398E+000
0.0756,-2.1216854506670728E+002,2.1218620369571859E+000
0.0758,-2.8603507919076026E+002,2.2146250811395998E+000
0.076,-2.5461490481827747E+002,2.2460697342517197E+000
0.0762,-2.0539436845270114E+002,2.2953159833251693E+000
0.0764,-1.4317173925898521E+002,2.3575657434970960E+000
0.0766,-7.3051091955093625E+001,2.4277150236974547E+000
0.0768,-3.1372200110570247E-001,2.5004825072259393E+000
0.077,6.9714008274246055E+001,2.5705417040101413E+000
0.0772,1.3179339656294673E+002,2.6326536785339201E+000
0.0774,1.8090370173844241E+002,2.6817973546699587E+000
0.0776,2.1236708449342723E+002,2.7132944625367457E+000
0.0778,2.2196538160114397E+002,2.7229263213884627E+000
0.078,2.0604609882024801E+002,2.7070398433623635E+000
0.0782,1.6161525581963048E+002,2.6626403912163843E+000
0.0784,8.6415016649708718E+001,2.5874694232950013E+000
0.0786,-1.8534591078512790E+001,2.4825355958326183E+000
0.0788,-1.3307425632445188E+002,2.3679938062487471E+000
0.079,-2.5325052128583434E+002,2.2478122834467817E+000
0.0792,-2.7789291793810412E+002,2.2230189472725583E+000
0.0794,-2.3997232209685507E+002,2.2609043368917123E+000
0.0796,-1.8580895360991025E+002,2.3150330817555420E+000
0.0798,-1.2031824629220876E+002,2.3804901393427693E+000
0.08,-4.8679127933444533E+001,2.4520968726938897E+000
0.0802,2.3796111859676898E+001,2.5245411782462268E+000
0.0804,9.1794527281217142E+001,2.5925101897634546E+000
0.0806,1.5013479043445312E+002,2.6508225534100811E+000
0.0808,1.9389604861640913E+002,2.6945572886166222E+000
0.081,2.1854046538643303E+002,2.7191763352452152E+000
0.0812,2.2002669609253502E+002,2.7206380375738144E+000
0.0814,1.9491175919375206E+002,2.6954990262301717E+000
0.0816,1.4043903111449060E+002,2.6410022255550731E+000
0.0818,5.4610408401371956E+001,2.5551490298681556E+000
0.082,-5.5779971513322096E+001,2.4287653018831890E+000
0.0822,-1.7214325676070752E+002,2.2421455027899291E+000
0.0824,-2.9175098951897081E+002,-1.2291747613252308E+002
0.0826,-2.6723508155155878E+002,-1.5076922251529689E+002
0.0828,-2.2341002993866351E+002,-1.7929284857729354E+002
0.083,-1.6494515129558474E+002,-2.0848268294010632E+002
0.0832,-9.6857084305457917E+001,-2.3829942616138618E+002
0.0834,-2.4383039937856477E+001,-2.6866872931041718E+002
0.0836,4.7150502695966757E+001,-2.9948063751320325E+002
0.0838,1.1246067438296980E+002,-3.3058991703710507E+002
0.084,1.6643966229125596E+002,-3.6181726449314579E+002
0.0842,2.0428176131929058E+002,-3.9295137680277713E+002
0.0844,2.2160317432421010E+002,-4.2375184115139706E+002
0.0846,2.1455187593964303E+002,-4.5395278566326687E+002
0.0848,1.7990508450204376E+002,-4.8326721438971953E+002
0.085,1.1515217023672596E+002,-5.1139193478194875E+002
0.0852,1.8664012389853525E+001,-5.3586211236048950E+002
0.0854,-9.4200973746382687E+001,-5.3539704490204792E+002
0.0856,-2.1244224120672686E+002,-5.3344785127858074E+002
0.0858,-2.8612259078330493E+002,-5.3000392102063643E+002
0.086,-2.5466668990342674E+002,-5.2640783266588187E+002
0.0862,-2.0540940039256094E+002,-5.2337275347849754E+002
0.0864,-1.4314980872163383E+002,-5.2109965182211226E+002
0.0866,-7.2992808802765765E+001,-5.1972302351271082E+002
0.0868,-2.2049903244394325E-001,-5.1930779522007242E+002
0.087,6.9839989307969290E+001,-5.1984797235206770E+002
0.0872,1.3194923585429925E+002,-5.2126705747127744E+002
0.0874,1.8108584805028951E+002,-5.2342022338393690E+002
0.0876,2.1257141598642426E+002,-5.2609818532027930E+002
0.0878,2.2218729902457272E+002,-5.2903268054296859E+002
0.088,2.0628062896185151E+002,-5.3190342416849035E+002
0.0882,1.6185716288858259E+002,-5.3434638070086748E+002
0.0884,8.6658919099222928E+001,-5.3596315894924373E+002
0.0886,-1.8294681640085845E+001,-5.3633840177832326E+002
0.0888,-1.3284568925055535E+002,-5.3522208092181245E+002
0.089,-2.5304000265952769E+002,-5.3253598498486099E+002
0.0892,-2.7781256290808960E+002,-5.2875603185250952E+002
0.0894,-2.3991118296508108E+002,-5.2532175401421455E+002
0.0896,-1.8576831958898822E+002,-5.2252261671105771E+002
0.0898,-1.2029894821960499E+002,-5.2053785528852359E+002
0.09,-4.8681521415049644E+001,-5.1947901001329910E+002
0.0902,2.3772152726314573E+001,-5.1938740594209776E+002
0.0904,9.1749605500670214E+001,-5.2023339099730492E+002
0.0906,1.5006997115749482E+002,-5.2191734349878516E+002
0.0908,1.9381283400132617E+002,-5.2427241989346385E+002
