"time","TRes","heatCapacitor_T","switch_Controll"
7.8,3.2174404560250679E+002,4.8594045602506810E+001,1
7.82,3.2168691180962645E+002,4.8536911809626474E+001,1
7.84,3.2162989217584237E+002,4.8479892175842394E+001,1
7.86,3.2157298647305305E+002,4.8422986473053072E+001,1
7.88,3.2168695466131538E+002,4.8536954661315406E+001,0
7.9,3.2180959763469616E+002,4.8659597634696183E+001,0
7.92,3.2193191798927279E+002,4.8781917989272813E+001,0
7.94,3.2205391664037285E+002,4.8903916640372870E+001,0
7.96,3.2217559450030541E+002,4.9025594500305431E+001,0
7.98,3.2229695247837333E+002,4.9146952478373350E+001,0
8,3.2241799148087955E+002,4.9267991480879573E+001,0
8.021,3.2254474012444763E+002,4.9394740124447651E+001,0
8.041,3.2266512804785714E+002,4.9515128047857161E+001,0
8.061,3.2278519974159951E+002,4.9635199741599536E+001,0
8.081,3.2290495609998987E+002,4.9754956099989897E+001,0
8.101,3.2302439801441295E+002,4.9874398014412975E+001,0
8.121,3.2314352637333565E+002,4.9993526373335669E+001,0
8.141,3.2326234206231953E+002,5.0112342062319556E+001,0
8.161,3.2338084596403229E+002,5.0230845964032312E+001,0
8.181,3.2349903895826054E+002,5.0349038958260564E+001,0
8.201,3.2361692192192095E+002,5.0466921921920971E+001,0
8.221,3.2373449572907293E+002,5.0584495729072955E+001,0
8.241,3.2385176125093005E+002,5.0701761250930076E+001,0
8.261,3.2396871935587245E+002,5.0818719355872474E+001,0
8.281,3.2408537090945782E+002,5.0935370909457845E+001,0
8.301,3.2413041956455328E+002,5.0980419564553301E+001,1
8.321,3.2406851755515879E+002,5.0918517555158815E+001,1
8.341,3.2400673923223928E+002,5.0856739232239306E+001,1
8.361,3.2394508434865696E+002,5.0795084348656985E+001,1
8.381,3.2388355265776715E+002,5.0733552657767177E+001,1
8.401,3.2382214391341847E+002,5.0672143913418495E+001,1
8.421,3.2376085786995139E+002,5.0610857869951417E+001,1
8.441,3.2369969428219713E+002,5.0549694282197152E+001,1
8.461,3.2363865290547693E+002,5.0488652905476954E+001,1
8.481,3.2357773349560057E+002,5.0427733495600592E+001,1
8.501,3.2351693580886598E+002,5.0366935808866003E+001,1
8.521,3.2345625960205803E+002,5.0306259602058049E+001,1
8.541,3.2339570463244752E+002,5.0245704632447541E+001,1
8.561,3.2333527065779037E+002,5.0185270657790397E+001,1
8.581,3.2327495743632642E+002,5.0124957436326440E+001,1
8.601,3.2321476472677847E+002,5.0064764726778492E+001,1
8.621,3.2315469228835167E+002,5.0004692288351691E+001,1
8.641,3.2309473988073194E+002,4.9944739880731959E+001,1
8.661,3.2303490726408580E+002,4.9884907264085825E+001,1
8.681,3.2297519419905871E+002,4.9825194199058728E+001,1
8.701,3.2291560044677453E+002,4.9765600446774556E+001,1
8.721,3.2285612576883415E+002,4.9706125768834170E+001,1
8.741,3.2279676992731510E+002,4.9646769927315120E+001,1
8.761,3.2273753268477003E+002,4.9587532684770053E+001,1
8.781,3.2267841380422641E+002,4.9528413804226432E+001,1
8.801,3.2261941304918486E+002,4.9469413049184880E+001,1
8.821,3.2256053018361877E+002,4.9410530183618789E+001,1
8.841,3.2250176497197299E+002,4.9351764971973012E+001,1
8.861,3.2244311717916304E+002,4.9293117179163062E+001,1
8.881,3.2238458657057436E+002,4.9234586570574379E+001,1
8.901,3.2232617291206077E+002,4.9176172912060792E+001,1
8.921,3.2226787596994450E+002,4.9117875969944521E+001,1
8.941,3.2220969551101427E+002,4.9059695511014297E+001,1
8.961,3.2215163130252472E+002,4.9001631302524743E+001,1
8.981,3.2226409589190359E+002,4.9114095891903617E+001,0
9.001,3.2238522124775392E+002,4.9235221247753941E+001,0
9.021,3.2250602828686874E+002,4.9356028286868764E+001,0
9.041,3.2262651791041213E+002,4.9476517910412156E+001,0
9.061,3.2274669101658878E+002,4.9596691016588807E+001,0
9.081,3.2286654850065713E+002,4.9716548500657154E+001,0
9.101,3.2298609125494153E+002,4.9836091254941550E+001,0
9.121,3.2310532016884400E+002,4.9955320168844025E+001,0
9.141,3.2322423612885757E+002,5.0074236128857592E+001,0
9.161,3.2334284001857742E+002,5.0192840018577442E+001,0
