"time","Var_disp"
3.496,2.0440701662339023E-002
3.497,2.0107940529989876E-002
3.498,1.9776478237249706E-002
3.499,1.9446302601555332E-002
3.5,1.9117399407844626E-002
3.501,1.8789756100513255E-002
3.502,1.8463360206743884E-002
3.503,1.8138197795422362E-002
3.504,1.7814257116734677E-002
3.505,1.7491524470415243E-002
3.506,1.7169989147357567E-002
3.507,1.6849653709796297E-002
3.508,1.6530536028417142E-002
3.509,1.6212651875022743E-002
3.51,1.5896018508231857E-002
3.511,1.5580650630911741E-002
3.512,1.5266564426129503E-002
3.513,1.4953773547010107E-002
3.514,1.4642293120776917E-002
3.515,1.4332135771564558E-002
3.516,1.4023321747684725E-002
3.517,1.3715911633137456E-002
3.518,1.3409984935265351E-002
3.519,1.3105620336878010E-002
3.52,1.2802894153390976E-002
3.521,1.2501883687875526E-002
3.522,1.2202663349396126E-002
3.523,1.1905308460961272E-002
3.524,1.1609891428027486E-002
3.525,1.1316485504811902E-002
3.526,1.1025168052658629E-002
3.527,1.0736046722005343E-002
3.528,1.0449234229959026E-002
3.529,1.0164844369281889E-002
3.53,9.8829883201593249E-003
3.531,9.6037782386647619E-003
3.532,9.3273236425293060E-003
3.533,9.0537349446881965E-003
3.534,8.7831199188458386E-003
3.535,8.5155867199846469E-003
3.536,8.2512365620723838E-003
