"time","level","level2","level3"
28.08,9.0083686828613281E+001,9.0083686828613281E+001,0.0000000000000000E+000
28.2,9.0417022705078125E+001,9.0417022705078125E+001,0.0000000000000000E+000
28.32,9.0917030334472656E+001,9.0917030334472656E+001,0.0000000000000000E+000
28.44,9.1250366210937500E+001,9.1250366210937500E+001,0.0000000000000000E+000
28.56,9.1750373840332031E+001,9.1750373840332031E+001,0.0000000000000000E+000
28.68,9.2083709716796875E+001,9.2083709716796875E+001,0.0000000000000000E+000
28.8,9.2417045593261719E+001,9.2417045593261719E+001,0.0000000000000000E+000
28.92,9.2917053222656250E+001,9.2917053222656250E+001,0.0000000000000000E+000
29.04,9.3250389099121094E+001,9.3250389099121094E+001,0.0000000000000000E+000
29.16,9.3750396728515625E+001,9.3750396728515625E+001,0.0000000000000000E+000
29.28,9.4083732604980469E+001,9.4083732604980469E+001,0.0000000000000000E+000
29.4,9.4417068481445313E+001,9.4417068481445313E+001,0.0000000000000000E+000
29.52,9.4917076110839844E+001,9.4917076110839844E+001,0.0000000000000000E+000
29.64,9.5250411987304688E+001,9.5250411987304688E+001,0.0000000000000000E+000
29.76,9.5750419616699219E+001,9.5750419616699219E+001,0.0000000000000000E+000
29.88,9.6083755493164062E+001,9.6083755493164062E+001,0.0000000000000000E+000
30,9.6417098999023438E+001,9.6417098999023438E+001,0.0000000000000000E+000
30.12,9.6917098999023438E+001,9.6917098999023438E+001,0.0000000000000000E+000
30.24,9.7250442504882813E+001,9.7250442504882813E+001,0.0000000000000000E+000
30.36,9.7750442504882813E+001,9.7750442504882813E+001,0.0000000000000000E+000
30.48,9.8083786010742187E+001,9.8083786010742187E+001,0.0000000000000000E+000
30.6,9.8404617309570313E+001,9.8404617309570313E+001,0.0000000000000000E+000
30.72,9.8851898193359375E+001,9.8851898193359375E+001,2.7083333116024733E-003
30.84,9.9124923706054687E+001,9.9124923706054687E+001,8.8541675359010696E-003
30.96,9.9492523193359375E+001,9.9492523193359375E+001,2.8750002384185791E-002
31.08,9.9707214355468750E+001,9.9707214355468750E+001,5.1562506705522537E-002
31.2,9.9895645141601563E+001,9.9895645141601563E+001,8.3958342671394348E-002
