"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0.27,1.4999999999999999E-001,2.0942405869324493E-001,0.0000000000000000E+000,2.4083705209163034E+002
0.271,1.4999999999999999E-001,2.1885547832886515E-001,0.0000000000000000E+000,2.3208066934229933E+002
0.272,1.4999999999999999E-001,2.3148358818295373E-001,0.0000000000000000E+000,2.2092491826758129E+002
0.273,1.4999999999999999E-001,2.4698335118491621E-001,0.0000000000000000E+000,2.0890218151602770E+002
0.274,1.4999999999999999E-001,2.6479173976665193E-001,0.0000000000000000E+000,1.9792300038779013E+002
0.275,1.4999999999999999E-001,2.8422131189095001E-001,0.0000000000000000E+000,1.8952350364807603E+002
0.276,1.4999999999999999E-001,3.0457092009152498E-001,0.0000000000000000E+000,1.8460286376402951E+002
0.277,1.4999999999999999E-001,3.2516566176436590E-001,0.0000000000000000E+000,1.8365557736019480E+002
0.278,1.4999999999999999E-001,3.4532161868311795E-001,0.0000000000000000E+000,1.8710122499022992E+002
0.279,1.4999999999999999E-001,3.6424113184404960E-001,0.0000000000000000E+000,1.9542338424050945E+002
0.28,1.4999999999999999E-001,3.8082270996061196E-001,0.0000000000000000E+000,2.0876717220838489E+002
0.281,1.4999999999999999E-001,3.9339167952704468E-001,0.0000000000000000E+000,2.2503828879540723E+002
0.282,1.4999999999999999E-001,3.9966160657518501E-001,0.0000000000000000E+000,2.3630505036461375E+002
0.283,1.4999999999999999E-001,3.9787178989835792E-001,0.0000000000000000E+000,2.3317776085985230E+002
0.284,1.4999999999999999E-001,3.8852684627094780E-001,0.0000000000000000E+000,2.1966204253048014E+002
0.285,1.4999999999999999E-001,3.7374357307255968E-001,0.0000000000000000E+000,2.0569256119105748E+002
0.286,1.4999999999999999E-001,3.5552037673831438E-001,0.0000000000000000E+000,1.9611520832614909E+002
0.287,1.4999999999999999E-001,3.3524309382404077E-001,0.0000000000000000E+000,1.9179660924090035E+002
0.288,1.4999999999999999E-001,3.1388609054994032E-001,0.0000000000000000E+000,1.9253991276694205E+002
0.289,1.4999999999999999E-001,2.9225581422951608E-001,0.0000000000000000E+000,1.9806635141984444E+002
0.29,1.4999999999999999E-001,2.7115537656316424E-001,0.0000000000000000E+000,2.0800857847967504E+002
0.291,1.4999999999999999E-001,2.5146767894095529E-001,0.0000000000000000E+000,2.2147982962379521E+002
0.292,1.4999999999999999E-001,2.3413098497758258E-001,0.0000000000000000E+000,2.3659981863849944E+002
0.293,1.4999999999999999E-001,2.1998019230184748E-001,0.0000000000000000E+000,2.5069707959725775E+002
0.294,1.4999999999999999E-001,2.0953667533374984E-001,0.0000000000000000E+000,2.6151560857501187E+002
0.295,1.4999999999999999E-001,2.0294495034979165E-001,0.0000000000000000E+000,2.6820535726608489E+002
0.296,1.4999999999999999E-001,2.0012705120834140E-001,0.0000000000000000E+000,2.7097118635991251E+002
0.297,1.4999999999999999E-001,2.0099988505214228E-001,0.0000000000000000E+000,2.7012370538645393E+002
0.298,1.4999999999999999E-001,2.0559298093741268E-001,0.0000000000000000E+000,2.6559232548470123E+002
0.299,1.4999999999999999E-001,2.1401484883532629E-001,0.0000000000000000E+000,2.5713742266235795E+002
0.3,1.4999999999999999E-001,2.2628610642333066E-001,0.0000000000000000E+000,2.4508677700267876E+002
0.301,1.4999999999999999E-001,2.4213709891179450E-001,0.0000000000000000E+000,2.3106297588651850E+002
0.302,1.4999999999999999E-001,2.6094214136401550E-001,0.0000000000000000E+000,2.1766643156053672E+002
0.303,1.4999999999999999E-001,2.8184954875719392E-001,0.0000000000000000E+000,2.0725618714544524E+002
0.304,1.4999999999999999E-001,3.0396013743242561E-001,0.0000000000000000E+000,2.0125618339942028E+002
0.305,1.4999999999999999E-001,3.2640548414833392E-001,0.0000000000000000E+000,2.0041616574093749E+002
0.306,1.4999999999999999E-001,3.4829881233296556E-001,0.0000000000000000E+000,2.0535157984203076E+002
0.307,1.4999999999999999E-001,3.6856662137972884E-001,0.0000000000000000E+000,2.1674885662107818E+002
0.308,1.4999999999999999E-001,3.8563307988669426E-001,0.0000000000000000E+000,2.3442914791786120E+002
0.309,1.4999999999999999E-001,3.9702253536322474E-001,0.0000000000000000E+000,2.5326203491395242E+002
0.31,1.4999999999999999E-001,3.9974740058580360E-001,0.0000000000000000E+000,2.5908568589901881E+002
0.311,1.4999999999999999E-001,3.9280584412935682E-001,0.0000000000000000E+000,2.4645238507212434E+002
0.312,1.4999999999999999E-001,3.7835829020815159E-001,0.0000000000000000E+000,2.2844435280177316E+002
0.313,1.4999999999999999E-001,3.5924318861112969E-001,0.0000000000000000E+000,2.1501751537322326E+002
0.314,1.4999999999999999E-001,3.3747364764465937E-001,0.0000000000000000E+000,2.0838643912447060E+002
0.315,1.4999999999999999E-001,3.1438146369177966E-001,0.0000000000000000E+000,2.0832466033530139E+002
0.316,1.4999999999999999E-001,2.9100609363329932E-001,0.0000000000000000E+000,2.1437527942690039E+002
0.317,1.4999999999999999E-001,2.6835624052328888E-001,0.0000000000000000E+000,2.2596758819604801E+002
0.318,1.4999999999999999E-001,2.4753308605837962E-001,0.0000000000000000E+000,2.4175521723418103E+002
0.319,1.4999999999999999E-001,2.2967983013899054E-001,0.0000000000000000E+000,2.5897142976209602E+002
0.32,1.4999999999999999E-001,2.1573595580374072E-001,0.0000000000000000E+000,2.7404704549994460E+002
0.321,1.4999999999999999E-001,2.0617766514813826E-001,0.0000000000000000E+000,2.8454137574382958E+002
0.322,1.4999999999999999E-001,2.0103849259634421E-001,0.0000000000000000E+000,2.9000128743531741E+002
0.323,1.4999999999999999E-001,2.0019125277528321E-001,0.0000000000000000E+000,2.9087887578780487E+002
0.324,1.4999999999999999E-001,2.0360367677081909E-001,0.0000000000000000E+000,2.8731995542390507E+002
0.325,1.4999999999999999E-001,2.1138847262585481E-001,0.0000000000000000E+000,2.7900986505593744E+002
0.326,1.4999999999999999E-001,2.2363027515905712E-001,0.0000000000000000E+000,2.6602948405842483E+002
