"time","revolute1.w","revolute2.w"
1.9321,-5.8244335324754137E-001,-3.2806918684255093E+000
1.9381,-7.5064373481739222E-001,-3.0637555058502111E+000
1.9441,-9.1868474813691758E-001,-2.8460817992495708E+000
1.9501,-1.0867120840964577E+000,-2.6267417418990275E+000
1.9561,-1.2548542327965924E+000,-2.4048292770087345E+000
1.9621,-1.4232238728968538E+000,-2.1794590770718556E+000
1.9681,-1.5919196650604648E+000,-1.9497637463069972E+000
1.9741,-1.7610284222032251E+000,-1.7148905856243619E+000
1.9801,-1.9306276506153439E+000,-1.4739979881599319E+000
1.9861,-2.1007884709888525E+000,-1.2262514788861991E+000
1.9921,-2.2715789385411598E+000,-9.7081936934017599E-001
1.9981,-2.4430677879037455E+000,-7.0686796486116477E-001
2.0041,-2.6153286319959252E+000,-4.3355623494853096E-001
2.0101,-2.7884446451446059E+000,-1.5002983668027478E-001
2.0161,-2.9625137593221318E+000,1.4458563293196036E-001
2.0221,-3.1376543981906280E+000,4.5119228519303334E-001
2.0281,-3.3140117657084982E+000,7.7072861080598520E-001
2.0341,-3.4917646924621693E+000,1.1041792688029417E+000
2.0401,-3.6711330202360752E+000,1.4525860294097819E+000
2.0461,-3.8523854678295595E+000,1.8170597971036080E+000
2.0521,-4.0358478591071059E+000,2.1987934485973821E+000
2.0581,-4.2219114918515404E+000,2.5990748979291216E+000
2.0641,-4.4110412573485673E+000,3.0192992684105397E+000
2.0701,-4.6037828440930184E+000,3.4609781832990225E+000
2.0761,-4.8007679079514451E+000,3.9257427846689925E+000
2.0821,-5.0027153603482182E+000,4.4153348408700417E+000
2.0881,-5.2104257526285318E+000,4.9315767262151233E+000
2.0941,-5.4247638743514219E+000,5.4763054347016702E+000
2.1,-5.6428577921024399E+000,6.0414089121806187E+000
2.106,-5.8729403516481016E+000,6.6474223599536391E+000
2.112,-6.1120746774857464E+000,7.2857290193000122E+000
2.118,-6.3606040775074684E+000,7.9557401186846732E+000
2.124,-6.6182163797279578E+000,8.6546461610090155E+000
2.13,-6.8834916633391270E+000,9.3760514618210831E+000
2.136,-7.1532806959827067E+000,1.0108112600800858E+001
2.142,-7.4219555642840911E+000,1.0831314777402913E+001
2.148,-7.6807197670792462E+000,1.1516460214028093E+001
2.154,-7.9174028838592863E+000,1.2124156216958280E+001
2.16,-8.1173791474401416E+000,1.2607726969379547E+001
2.166,-8.2661061302918704E+000,1.2921029878250934E+001
2.172,-8.3529211788681597E+000,1.3030063502907979E+001
2.178,-8.3744609217604928E+000,1.2923423254350368E+001
2.184,-8.3356765388585625E+000,1.2615480947845688E+001
2.19,-8.2478050725456260E+000,1.2140339896772884E+001
2.196,-8.1246619154731388E+000,1.1540658159814969E+001
2.202,-7.9792755922477152E+000,1.0857429826945896E+001
2.208,-7.8219819404287509E+000,1.0124117562092119E+001
2.214,-7.6599328791784824E+000,9.3650382230192459E+000
2.22,-7.4974456974082493E+000,8.5962980076806108E+000
2.226,-7.3366566556187509E+000,7.8276706918059809E+000
2.232,-7.1781695592499606E+000,7.0644839434277271E+000
2.238,-7.0215793723731563E+000,6.3091443918738364E+000
2.244,-6.8658539223956119E+000,5.5622421936364042E+000
2.25,-6.7095969373273299E+000,4.8232987950694843E+000
2.256,-6.5512238806094061E+000,4.0912486768330742E+000
2.262,-6.3890779249832823E+000,3.3647355044020144E+000
2.268,-6.2215063288646917E+000,2.6422834211195112E+000
2.274,-6.0469110186937325E+000,1.9223859826312251E+000
2.28,-5.8637822734553620E+000,1.2035413159712047E+000
2.286,-5.6707210066699556E+000,4.8425239730458619E-001
2.292,-5.4664529391321128E+000,-2.3699502408233492E-001
2.298,-5.2498366495718596E+000,-9.6176827484896343E-001
2.304,-5.0198668590568714E+000,-1.6917309868102801E+000
2.31,-4.7756742211993828E+000,-2.4286881146731649E+000
2.316,-4.5165233202974324E+000,-3.1746266479593253E+000
2.322,-4.2418115906452210E+000,-3.9317438844574890E+000
2.328,-3.9510736556193420E+000,-4.7024509386116531E+000
2.334,-3.6439985097321057E+000,-5.4893316616407235E+000
2.34,-3.3204716269646846E+000,-6.2950244867606155E+000
2.346,-2.9806613371267892E+000,-7.1219741606951485E+000
2.352,-2.6251796760724537E+000,-7.9719685791026338E+000
2.358,-2.2553628810198005E+000,-8.8453309016238819E+000
2.364,-1.8737336319125100E+000,-9.7395838639097843E+000
2.37,-1.4847157849154107E+000,-1.0647369844203325E+001
2.376,-1.0956430221990623E+000,-1.1553481309304034E+001
2.382,-7.1797115793130661E-001,-1.2431219213082070E+001
2.388,-3.6827637481231479E-001,-1.3239230670840129E+001
2.394,-6.8082993812681736E-002,-1.3921547548440028E+001
2.4,1.5882299575874986E-001,-1.4414731223231268E+001
2.406,2.9221181901882276E-001,-1.4664033550992295E+001
2.412,3.2248555745849034E-001,-1.4643355970158662E+001
2.418,2.5470967650001936E-001,-1.4366733863815043E+001
