"time","yRising","yFalling","yEither"
4.821,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.841,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.861,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.881,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.901,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.921,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.941,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.961,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.981,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
5,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.02,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.04,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.06,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.08,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.1,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.12,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.14,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.16,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.18,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.2,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.22,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.24,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.26,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.28,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.3,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.32,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.34,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.36,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.38,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.4,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.42,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.44,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.46,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.48,-9.9277081528639899E-001,7.4511316047932508E-001,7.4511316047932508E-001
5.5,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.52,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.54,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.56,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.58,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.6,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.62,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.64,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.66,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.68,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.7,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.72,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.74,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.76,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.78,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.8,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.82,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.84,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.86,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.88,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.9,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.92,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.94,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.96,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
5.98,1.7701925106784710E-002,7.4511316047932508E-001,1.7701925106784710E-002
6,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.02,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.04,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.06,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.08,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.1,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.12,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.14,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.16,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.18,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.2,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.22,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.24,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.26,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.28,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.3,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.32,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.34,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.36,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.38,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.4,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.42,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.44,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.46,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.48,1.7701925106784710E-002,-7.6825466132539977E-001,-7.6825466132539977E-001
6.5,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.52,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.54,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.56,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.58,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.6,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.62,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.64,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.66,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.68,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.7,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.72,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.74,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.76,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.78,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.8,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.82,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.84,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.86,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.88,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
