"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
6.98,1.0492880160011471E-001,2.2787774887525729E+000,1.3071955200009942E+001,9.4319887500079762E+000
7,3.6450400560039953E-001,2.4655533637527940E+000,1.2875755200009873E+001,9.2357887500079077E+000
7.02,6.2015520960068160E-001,2.6484052387530128E+000,1.2679555200009805E+001,9.0395887500078391E+000
7.04,8.7188241360096119E-001,2.8273331137532289E+000,1.2483355200009736E+001,8.8433887500077706E+000
7.06,1.1196856176012382E+000,3.0023369887534419E+000,1.2287155200009668E+001,8.6471887500077020E+000
7.08,1.3635648216015122E+000,3.1734168637536522E+000,1.2090955200009599E+001,8.4509887500076335E+000
7.1,1.6035200256017839E+000,3.3405727387538602E+000,1.1894755200009531E+001,8.2547887500075650E+000
7.12,1.8395512296020526E+000,3.5038046137540655E+000,1.1698555200009462E+001,8.0585887500074964E+000
7.14,2.0716584336023192E+000,3.6631124887542676E+000,1.1502355200009394E+001,7.8623887500074279E+000
7.16,2.2998416376025825E+000,3.8184963637544675E+000,1.1306155200009325E+001,7.6661887500073593E+000
7.18,2.5241008416028432E+000,3.9699562387546643E+000,1.1109955200009257E+001,7.4699887500072908E+000
7.2,2.7444360456031016E+000,4.1174921137548584E+000,1.0913755200009188E+001,7.2737887500072222E+000
7.22,2.9608472496033564E+000,4.2611039887550506E+000,1.0717555200009119E+001,7.0775887500071537E+000
7.24,3.1733344536036090E+000,4.4007918637552406E+000,1.0521355200009051E+001,6.8813887500070852E+000
7.26,3.3818976576038593E+000,4.5365557387554265E+000,1.0325155200008982E+001,6.6851887500070166E+000
7.28,3.5865368616041065E+000,4.6683956137556102E+000,1.0128955200008914E+001,6.4889887500069481E+000
7.3,3.7872520656043513E+000,4.7963114887557916E+000,9.9327552000088453E+000,6.2927887500068795E+000
7.32,3.9840432696045931E+000,4.9203033637559690E+000,9.7365552000087767E+000,6.0965887500068110E+000
7.34,4.1769104736048313E+000,5.0403712387561441E+000,9.5403552000087082E+000,5.9003887500067425E+000
7.36,4.3658536776050685E+000,5.1565151137563179E+000,9.3441552000086396E+000,5.7041887500066739E+000
7.38,4.5508728816053026E+000,5.2687349887564876E+000,9.1479552000085711E+000,5.5079887500066054E+000
7.4,4.7319680856055335E+000,5.3770308637566551E+000,8.9517552000085026E+000,5.3117887500065368E+000
7.42,4.9091392896057631E+000,5.4814027387568212E+000,8.7555552000084340E+000,5.1155887500064683E+000
7.44,5.0823864936059895E+000,5.5818506137569832E+000,8.5593552000083655E+000,4.9193887500063997E+000
7.46,5.2517096976062119E+000,5.6783744887571430E+000,8.3631552000082969E+000,4.7231887500063312E+000
7.48,5.4171089016064320E+000,5.7709743637572997E+000,8.1669552000082284E+000,4.5269887500062627E+000
7.5,5.5785841056066499E+000,5.8596502387574532E+000,7.9707552000081598E+000,4.3307887500061941E+000
7.52,5.7361353096068646E+000,5.9444021137576044E+000,7.7745552000080913E+000,4.1345887500061256E+000
7.54,5.8897625136070770E+000,6.0252299887577534E+000,7.5783552000080228E+000,3.9383887500060570E+000
7.56,6.0394657176072872E+000,6.1021338637578992E+000,7.3821552000079542E+000,3.7421887500059885E+000
7.58,6.1852449216074943E+000,6.1751137387580428E+000,7.1859552000078857E+000,3.5459887500059200E+000
7.6,6.3271001256076991E+000,6.2441696137581841E+000,6.9897552000078171E+000,3.3497887500058514E+000
7.62,6.4650313296079016E+000,6.3093014887583223E+000,6.7935552000077486E+000,3.1535887500057829E+000
7.64,6.5990385336081001E+000,6.3705093637584582E+000,6.5973552000076801E+000,2.9573887500057143E+000
7.66,6.7291217376082963E+000,6.4277932387585910E+000,6.4011552000076115E+000,2.7611887500056458E+000
7.68,6.8552809416084903E+000,6.4811531137587206E+000,6.2049552000075430E+000,2.5649887500055772E+000
7.7,6.9775161456086803E+000,6.5305889887588471E+000,6.0087552000074744E+000,2.3687887500055087E+000
7.72,7.0958273496088689E+000,6.5761008637589722E+000,5.8125552000074059E+000,2.1725887500054402E+000
7.74,7.2102145536090552E+000,6.6176887387590941E+000,5.6163552000073373E+000,1.9763887500053723E+000
7.76,7.3206777576092374E+000,6.6553526137592129E+000,5.4201552000072688E+000,1.7801887500053082E+000
7.78,7.4272169616094184E+000,6.6890924887593304E+000,5.2239552000072003E+000,1.5839887500052441E+000
7.8,7.5298321656095970E+000,6.7189083637594447E+000,5.0277552000071317E+000,1.3877887500051800E+000
7.82,7.6285233696097716E+000,6.7448002387595558E+000,4.8315552000070632E+000,1.1915887500051159E+000
7.84,7.7232905736099431E+000,6.7667681137596656E+000,4.6353552000069946E+000,9.9538875000505167E-001
7.86,7.8141337776101132E+000,6.7848119887597722E+000,4.4391552000069261E+000,7.9918875000498535E-001
7.88,7.9010529816102792E+000,6.7989318637598757E+000,4.2429552000068576E+000,6.0298875000491903E-001
7.9,7.9840481856104430E+000,6.8091277387599778E+000,4.0467552000067890E+000,4.0678875000485326E-001
7.92,8.0631193896106037E+000,6.8153996137600767E+000,3.8505552000067205E+000,2.1058875000478791E-001
7.94,8.1382665936107621E+000,6.8177474887601726E+000,3.6543552000066519E+000,1.4388750004722310E-002
7.96,8.2094897976109156E+000,6.8161713637602670E+000,3.4581552000065834E+000,-1.8181124999534326E-001
7.98,8.2767890016110695E+000,6.8106712387603574E+000,3.2619552000065148E+000,-3.7801124999540864E-001
8,8.3401642056112184E+000,6.8012471137604456E+000,3.0657552000064552E+000,-5.7421124999546547E-001
8.02,8.3996154096113163E+000,6.7878989887605439E+000,2.8695552000065643E+000,-7.7041124999535637E-001
8.04,8.4551426136114198E+000,6.7706268637606470E+000,2.6733552000066734E+000,-9.6661124999524728E-001
8.06,8.5067458176115256E+000,6.7494307387607551E+000,2.4771552000067825E+000,-1.1628112499951382E+000
8.08,8.5544250216116335E+000,6.7243106137608679E+000,2.2809552000068916E+000,-1.3590112499950291E+000
8.1,8.5981802256117472E+000,6.6952664887609838E+000,2.0847552000070007E+000,-1.5552112499949200E+000
8.12,8.6380114296118666E+000,6.6622983637611046E+000,1.8885552000071097E+000,-1.7514112499948109E+000
8.14,8.6739186336119900E+000,6.6254062387612302E+000,1.6923552000072188E+000,-1.9476112499947018E+000
8.16,8.7059018376121191E+000,6.5845901137613598E+000,1.4961552000073279E+000,-2.1438112499945929E+000
8.18,8.7339610416122522E+000,6.5398499887614934E+000,1.2999552000074370E+000,-2.3400112499944838E+000
8.2,8.7580962456123892E+000,6.4911858637616318E+000,1.1037552000075461E+000,-2.5362112499943748E+000
8.22,8.7783074496125284E+000,6.4385977387617750E+000,9.0755520000765522E-001,-2.7324112499942657E+000
8.24,8.7945946536126716E+000,6.3820856137619213E+000,7.1135520000776431E-001,-2.9286112499941566E+000
8.26,8.8069578576128205E+000,6.3216494887620724E+000,5.1515520000787340E-001,-3.1248112499940475E+000
