"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
4.301,1.4003409723785474E+000,5.2161656547629578E+000,1.4003409723785474E+000,3.6531137641306543E+001,-2.5147544746503764E-001,-1.9032918673086114E+000
4.321,1.3819348034337826E+000,5.2439978757227221E+000,1.3819348034337826E+000,3.7260827531813995E+001,-2.6472604621400808E-001,-1.9113868958617877E+000
4.341,1.3633758656267083E+000,5.2714605097080085E+000,1.3633758656267083E+000,3.8005624183762123E+001,-2.7786544960776294E-001,-1.9191067648422226E+000
4.361,1.3446715822849977E+000,5.2985505717640597E+000,1.3446715822849977E+000,3.8765835636704693E+001,-2.9088850722687926E-001,-1.9264485967387448E+000
4.381,1.3258294348726007E+000,5.3252652259599147E+000,1.3258294348726007E+000,3.9541775999270243E+001,-3.0379011310521969E-001,-1.9334096610830285E+000
4.401,1.3068569599972570E+000,5.3516017865227603E+000,1.3068569599972570E+000,4.0333765570557155E+001,-3.1656520781352759E-001,-1.9399873756243009E+000
4.421,1.2877617463959532E+000,5.3775577189121888E+000,1.2877617463959532E+000,4.1142130964040618E+001,-3.2920878052358893E-001,-1.9461793074431206E+000
4.441,1.2685514318995312E+000,5.4031306408339903E+000,1.2685514318995312E+000,4.1967205234042495E+001,-3.4171587105215379E-001,-1.9519831740038287E+000
4.461,1.2492337003776552E+000,5.4283183231930350E+000,1.2492337003776552E+000,4.2809328004816429E+001,-3.5408157188381445E-001,-1.9573968441452740E+000
4.481,1.2298162786653677E+000,5.4531186909848772E+000,1.2298162786653677E+000,4.3668845602301047E+001,-3.6630103017204718E-001,-1.9624183390094516E+000
4.501,1.2103069334724574E+000,5.4775298241257380E+000,1.2103069334724574E+000,4.4546111188595845E+001,-3.7836944971763214E-001,-1.9670458329077121E+000
4.521,1.1907134682768814E+000,5.5015499582205134E+000,1.1907134682768814E+000,4.5441484899214885E+001,-3.9028209292367566E-001,-1.9712776541242225E+000
4.541,1.1710437202034742E+000,5.5251774852684985E+000,1.1710437202034742E+000,4.6355333983174738E+001,-4.0203428272646674E-001,-1.9751122856563974E+000
4.561,1.1513055568892065E+000,5.5484109543065712E+000,1.1513055568892065E+000,4.7288032945974123E+001,-4.1362140450141038E-001,-1.9785483658920167E+000
4.581,1.1315068733362312E+000,5.5712490719895591E+000,1.1315068733362312E+000,4.8239963695523990E+001,-4.2503890794328958E-001,-1.9815846892228000E+000
4.601,1.1116555887539907E+000,5.5936907031075682E+000,1.1116555887539907E+000,4.9211515691087818E+001,-4.3628230892011721E-001,-1.9842202065942147E+000
4.621,1.0917596433916377E+000,5.6157348710400408E+000,1.0917596433916377E+000,5.0203086095293123E+001,-4.4734719129984973E-001,-1.9864540259913268E+000
4.641,1.0718269953620410E+000,5.6373807581463886E+000,1.0718269953620410E+000,5.1215079929276293E+001,-4.5822920874924666E-001,-1.9882854128605243E+000
4.661,1.0518656174586483E+000,5.6586277060930490E+000,1.0518656174586483E+000,5.2247910231024242E+001,-4.6892408650416700E-001,-1.9897137904669722E+000
4.681,1.0318834939664723E+000,5.6794752161168027E+000,1.0318834939664723E+000,5.3301998216977658E+001,-4.7942762311060988E-001,-1.9907387401876815E+000
4.701,1.0118886174684851E+000,5.6999229492242733E+000,1.0118886174684851E+000,5.4377773446961562E+001,-4.8973569213581297E-001,-1.9913600017400999E+000
4.721,9.9188898564869055E-001,5.7199707263275199E+000,9.9188898564869055E-001,5.5475673992510707E+001,-4.9984424384873888E-001,-1.9915774733461580E+000
4.741,9.7189259809315887E-001,5.7396185283156713E+000,9.7189259809315887E-001,5.6596146608658223E+001,-5.0974930686928721E-001,-1.9913912118317234E+000
4.761,9.5190745309029767E-001,5.7588664960625708E+000,9.5190745309029767E-001,5.7739646909257559E+001,-5.1944698978558534E-001,-1.9908014326614583E+000
4.781,9.3194154443164268E-001,5.7777149303704283E+000,9.3194154443164268E-001,5.8906639545909080E+001,-5.2893348273872332E-001,-1.9898085099090790E+000
4.801,9.1200285821444882E-001,5.7961642918494967E+000,9.1200285821444882E-001,6.0097598390563952E+001,-5.3820505897430981E-001,-1.9884129761630578E+000
4.821,8.9209936964735770E-001,5.8142152007338437E+000,8.9209936964735770E-001,6.1313006721879667E+001,-5.4725807636023727E-001,-1.9866155223678219E+000
4.841,8.7223903986041917E-001,5.8318684366332612E+000,8.7223903986041917E-001,6.2553357415402843E+001,-5.5608897887006536E-001,-1.9844169976005399E+000
4.861,8.5242981272074736E-001,5.8491249382214328E+000,8.5242981272074736E-001,6.3819153137656436E+001,-5.6469429803143356E-001,-1.9818184087836053E+000
4.881,8.3267961165507898E-001,5.8659858028604779E+000,8.3267961165507898E-001,6.5110906544209968E+001,-5.7307065433893867E-001,-1.9788209203329470E+000
4.901,8.1299633648050773E-001,5.8824522861620192E+000,8.1299633648050773E-001,6.6429140481813363E+001,-5.8121475863092265E-001,-1.9754258537423433E+000
