"time","spring_length_out"
7.92,8.9478349076813549E+02
7.93,8.9446370695044368E+02
7.94,8.9380545630748293E+02
7.95,8.9281139672832012E+02
7.96,8.9148507442803725E+02
7.97,8.8983091212276418E+02
7.98,8.8785419489910760E+02
7.99,8.8556105382180874E+02
8,8.8295844732936803E+02
8.01,8.8005414047314753E+02
8.02,8.7685668206105333E+02
8.03,8.7337537977234115E+02
8.04,8.6962027322744518E+02
8.05,8.6560210547638439E+02
8.06,8.6133229236012573E+02
8.07,8.5682289022754253E+02
8.08,8.5208656211736343E+02
8.09,8.4713654239741868E+02
8.1,8.4198659992669968E+02
8.11,8.3665099992444993E+02
8.12,8.3114446460922568E+02
8.13,8.2548213272634939E+02
8.14,8.1967951806967028E+02
8.15,8.1375246710270039E+02
8.16,8.0771711582427292E+02
8.17,8.0158984598681172E+02
8.18,7.9538724074917081E+02
8.19,7.8912601072414793E+02
8.2,7.8282295360166631E+02
8.21,7.7649523948622073E+02
8.22,7.7015980682169129E+02
8.23,7.6383356900651279E+02
8.24,7.5753336936376036E+02
8.25,7.5127593641937813E+02
8.26,7.4507783960695804E+02
8.27,7.3895544551603780E+02
8.28,7.3292487479910392E+02
8.29,7.2700144294747940E+02
8.3,7.2120093182002904E+02
8.31,7.1553856612029006E+02
8.32,7.1002907576547011E+02
8.33,7.0468674377354864E+02
8.34,6.9952536934108844E+02
8.35,6.9455823234906654E+02
8.36,6.8979805933806426E+02
8.37,6.8525699104820069E+02
8.38,6.8094655157200111E+02
8.39,6.7687761940389737E+02
8.4,6.7306039997932749E+02
8.41,6.6950440037338785E+02
8.42,6.6621840577844785E+02
8.43,6.6321045797866282E+02
8.44,6.6048783593010489E+02
8.45,6.5805703838038858E+02
8.46,6.5592376860574973E+02
8.47,6.5409292136215277E+02
8.48,6.5256857185566764E+02
8.49,6.5135396723428312E+02
8.5,6.5045152006928970E+02
8.51,6.4986280414814428E+02
8.52,6.4958855251512500E+02
8.53,6.4962865775900298E+02
8.54,6.4998217454096982E+02
8.55,6.5064732435011092E+02
8.56,6.5162150246779811E+02
8.57,6.5290128711654177E+02
8.58,6.5448245076308285E+02
8.59,6.5635997353983839E+02
8.6,6.5852805874326475E+02
8.61,6.6098015036227366E+02
8.62,6.6370895258454823E+02
8.63,6.6670645122346934E+02
8.64,6.6996393700340127E+02
8.65,6.7347203071647584E+02
8.66,6.7722070982661876E+02
8.67,6.8119933701670323E+02
8.68,6.8539669023897670E+02
8.69,6.8980099414667461E+02
8.7,6.9439995297486200E+02
