"time","J1.w","J2.w","J3.w","J4.w"
0.4651,6.0724364077690165E+000,3.7407217660822365E+000,6.5099999999965008E-001,0.0000000000000000E+000
0.4681,6.0734142311963080E+000,3.7357229482900820E+000,6.8099999999964678E-001,0.0000000000000000E+000
0.4711,6.0729296234947086E+000,3.7306614429209333E+000,7.1099999999964347E-001,0.0000000000000000E+000
0.4741,6.0707658846638628E+000,3.7255368955435797E+000,7.4099999999964017E-001,0.0000000000000000E+000
0.4771,6.0667217774595468E+000,3.7203489526227784E+000,7.7099999999963686E-001,0.0000000000000000E+000
0.4801,6.0606133167226846E+000,3.7150972615242788E+000,8.0099999999963356E-001,0.0000000000000000E+000
0.4831,6.0522754055696248E+000,3.7097814705198262E+000,8.3099999999963026E-001,0.0000000000000000E+000
0.4861,6.0415633039207561E+000,3.7044012287921770E+000,8.6099999999962695E-001,0.0000000000000000E+000
0.4891,6.0283539163325663E+000,3.6989561864400669E+000,8.9099999999962365E-001,0.0000000000000000E+000
0.4921,6.0125468877023147E+000,3.6934459944831968E+000,9.2099999999962034E-001,0.0000000000000000E+000
0.4951,5.9940654971196237E+000,3.6878703048671859E+000,9.5099999999961704E-001,0.0000000000000000E+000
0.4981,5.9728573419311282E+000,3.6822287704685204E+000,9.8099999999961374E-001,0.0000000000000000E+000
0.5011,5.9488948059463000E+000,3.6765210450994870E+000,1.0109999999996104E+000,0.0000000000000000E+000
0.5041,5.9221753076285628E+000,3.6707467835130929E+000,1.0409999999996071E+000,0.0000000000000000E+000
0.5071,5.8927213260687292E+000,3.6649056414079659E+000,1.0709999999996038E+000,0.0000000000000000E+000
0.5101,5.8605802045101676E+000,3.6589972754332658E+000,1.1009999999996005E+000,0.0000000000000000E+000
0.5131,5.8258237331695177E+000,3.6530213431935437E+000,1.1309999999995972E+000,0.0000000000000000E+000
0.5161,5.7885475150559316E+000,3.6469775032536198E+000,1.1609999999995939E+000,0.0000000000000000E+000
0.5191,5.7488701204177293E+000,3.6408654151434323E+000,1.1909999999995906E+000,0.0000000000000000E+000
0.5221,5.7069320373216854E+000,3.6346847393628776E+000,1.2209999999995873E+000,0.0000000000000000E+000
0.5251,5.6628944276796123E+000,3.6284351373866341E+000,1.2509999999995840E+000,0.0000000000000000E+000
0.5281,5.6169376997637661E+000,3.6221162716689745E+000,1.2809999999995807E+000,0.0000000000000000E+000
0.5311,5.5692599098815512E+000,3.6157278056485618E+000,1.3109999999995774E+000,0.0000000000000000E+000
0.5341,5.5200750073962626E+000,3.6092694037532320E+000,1.3409999999995741E+000,0.0000000000000000E+000
0.5371,5.4696109386711909E+000,3.6027407314047695E+000,1.3709999999995708E+000,0.0000000000000000E+000
0.5401,5.4181076267665453E+000,3.5961414550236546E+000,1.4009999999995675E+000,0.0000000000000000E+000
0.5431,5.3658148448215179E+000,3.5894712420338069E+000,1.4309999999995642E+000,0.0000000000000000E+000
0.5461,5.3129900019974690E+000,3.5827297608673101E+000,1.4609999999995609E+000,0.0000000000000000E+000
0.5491,5.2598958616342850E+000,3.5759166809691303E+000,1.4909999999995576E+000,0.0000000000000000E+000
0.5521,5.2067982118737124E+000,3.5690316728018079E+000,1.5209999999995543E+000,0.0000000000000000E+000
0.5551,5.1539635094253056E+000,3.5620744078501438E+000,1.5509999999995510E+000,0.0000000000000000E+000
0.5581,5.1016565173890687E+000,3.5550445586258697E+000,1.5809999999995477E+000,0.0000000000000000E+000
0.5611,5.0501379581015815E+000,3.5479417986722970E+000,1.6109999999995444E+000,0.0000000000000000E+000
0.5641,4.9996622018391061E+000,3.5407658025689610E+000,1.6409999999995410E+000,0.0000000000000000E+000
0.5671,4.9504750118928307E+000,3.5335162459362461E+000,1.6709999999995377E+000,0.0000000000000000E+000
0.5701,4.9028113660311083E+000,3.5261928054399934E+000,1.7009999999995344E+000,0.0000000000000000E+000
0.5731,4.8568933736854882E+000,3.5187951587960971E+000,1.7309999999995311E+000,0.0000000000000000E+000
0.5761,4.8129283073477183E+000,3.5113229847750866E+000,1.7609999999995278E+000,0.0000000000000000E+000
0.5791,4.7711067656511199E+000,3.5037759632066896E+000,1.7909999999995245E+000,0.0000000000000000E+000
0.5821,4.7316009844409317E+000,3.4961537749843821E+000,1.8209999999995212E+000,0.0000000000000000E+000
0.5851,4.6945633108246279E+000,3.4884561020699238E+000,1.8509999999995179E+000,0.0000000000000000E+000
0.5881,4.6601248537466242E+000,3.4806826274978837E+000,1.8809999999995146E+000,0.0000000000000000E+000
0.5911,4.6283943230649003E+000,3.4728330353801349E+000,1.9109999999995113E+000,0.0000000000000000E+000
0.5941,4.5994570674339625E+000,3.4649070109103515E+000,1.9409999999995080E+000,0.0000000000000000E+000
0.5971,4.5733743195339160E+000,3.4569042403684804E+000,1.9709999999995047E+000,0.0000000000000000E+000
0.6001,4.5501826553450035E+000,3.4488244111252016E+000,2.0009999999995012E+000,0.0000000000000000E+000
0.6031,4.5298936722670904E+000,3.4406672116463661E+000,2.0309999999994979E+000,0.0000000000000000E+000
0.6061,4.5124938889410933E+000,3.4324323314974294E+000,2.0609999999994946E+000,0.0000000000000000E+000
0.6091,4.4979448676615066E+000,3.4241194613478623E+000,2.0909999999994913E+000,0.0000000000000000E+000
0.6121,4.4861835582934422E+000,3.4157282929755448E+000,2.1209999999994880E+000,0.0000000000000000E+000
0.6151,4.4771228606415088E+000,3.4072585192711489E+000,2.1509999999994847E+000,0.0000000000000000E+000
0.6181,4.4706524002788699E+000,3.3987098342424984E+000,2.1809999999994814E+000,0.0000000000000000E+000
0.6211,4.4666395109501380E+000,3.3900819330189291E+000,2.2109999999994780E+000,0.0000000000000000E+000
0.6241,4.4649304148281583E+000,3.3813745118556078E+000,2.2409999999994747E+000,0.0000000000000000E+000
0.6271,4.4653515901486447E+000,3.3725872681378588E+000,2.2709999999994714E+000,0.0000000000000000E+000
0.6301,4.4677113140833624E+000,3.3637199003854610E+000,2.3009999999994681E+000,0.0000000000000000E+000
0.6331,4.4718013671572034E+000,3.3547721082569320E+000,2.3309999999994648E+000,0.0000000000000000E+000
0.6361,4.4773988840805750E+000,3.3457435925537995E+000,2.3609999999994615E+000,0.0000000000000000E+000
0.6391,4.4842683345689363E+000,3.3366340552248506E+000,2.3909999999994582E+000,0.0000000000000000E+000
0.6421,4.4921636165675682E+000,3.3274431993703706E+000,2.4209999999994549E+000,0.0000000000000000E+000
0.6451,4.5008302433019187E+000,3.3181707292463596E+000,2.4509999999994516E+000,0.0000000000000000E+000
0.6481,4.5100076047410695E+000,3.3088163502687364E+000,2.4809999999994483E+000,0.0000000000000000E+000
0.6511,4.5194312834013850E+000,3.2993797690175288E+000,2.5109999999994450E+000,0.0000000000000000E+000
0.6541,4.5288354039350533E+000,3.2898606932410379E+000,2.5409999999994417E+000,0.0000000000000000E+000
0.6571,4.5379549956484047E+000,3.2802588318599968E+000,2.5709999999994384E+000,0.0000000000000000E+000
0.6601,4.5465283469800344E+000,3.2705738949717036E+000,2.6009999999994351E+000,0.0000000000000000E+000
0.6631,4.5542993310402382E+000,3.2608055938541440E+000,2.6309999999994318E+000,0.0000000000000000E+000
0.6661,4.5610196815700235E+000,3.2509536409700948E+000,2.6609999999994285E+000,0.0000000000000000E+000
0.6691,4.5664511991181147E+000,3.2410177499712081E+000,2.6909999999994252E+000,0.0000000000000000E+000
0.6721,4.5703678678537312E+000,3.2309976357020829E+000,2.7209999999994219E+000,0.0000000000000000E+000
0.6751,4.5725578642261020E+000,3.2208930142043175E+000,2.7509999999994186E+000,0.0000000000000000E+000
0.6781,4.5728254396416972E+000,3.2107036027205447E+000,2.7809999999994153E+000,0.0000000000000000E+000
0.6811,4.5709926604483631E+000,3.2004291196984509E+000,2.8109999999994120E+000,0.0000000000000000E+000
0.6841,4.5669009897820834E+000,3.1900692847947774E+000,2.8409999999994087E+000,0.0000000000000000E+000
0.6871,4.5604126972357824E+000,3.1796238188793042E+000,2.8709999999994054E+000,0.0000000000000000E+000
0.6901,4.5514120838377696E+000,3.1690924440388182E+000,2.9009999999994021E+000,0.0000000000000000E+000
0.6931,4.5398065114668382E+000,3.1584748835810621E+000,2.9309999999993988E+000,0.0000000000000000E+000
0.6961,4.5255272275667879E+000,3.1477708620386666E+000,2.9609999999993954E+000,0.0000000000000000E+000
0.6991,4.5085299778401424E+000,3.1369801051730666E+000,2.9909999999993921E+000,0.0000000000000000E+000
0.7021,4.4887954014826823E+000,3.1261023399783965E+000,3.0209999999993888E+000,0.0000000000000000E+000
0.7051,4.4663292054506591E+000,3.1151372946853733E+000,3.0509999999993855E+000,0.0000000000000000E+000
0.7081,4.4411621162138246E+000,3.1040846987651567E+000,3.0809999999993822E+000,0.0000000000000000E+000
0.7111,4.4133671396930101E+000,3.1019724394990198E+000,3.1019724395990207E+000,0.0000000000000000E+000
0.7141,4.3830309721016247E+000,3.1113589227144010E+000,3.1113589228144019E+000,0.0000000000000000E+000
0.7171,4.3502305100250336E+000,3.1207012307817661E+000,3.1207012308817670E+000,0.0000000000000000E+000
0.7201,4.3150913122604315E+000,3.1299992309262317E+000,3.1299992310262326E+000,0.0000000000000000E+000
0.7231,4.2777604816900983E+000,3.1392527910026380E+000,3.1392527911026389E+000,0.0000000000000000E+000
0.7261,4.2384053619274455E+000,3.1484617794974117E+000,3.1484617795974126E+000,0.0000000000000000E+000
0.7291,4.1972120542941678E+000,3.1576260655304411E+000,3.1576260656304420E+000,0.0000000000000000E+000
0.7321,4.1543837682914209E+000,3.1667455188569371E+000,3.1667455189569380E+000,0.0000000000000000E+000
0.7351,4.1101390202063257E+000,3.1758200098692813E+000,3.1758200099692822E+000,0.0000000000000000E+000
0.7381,4.0647096958430629E+000,3.1848494095988715E+000,3.1848494096988724E+000,0.0000000000000000E+000
0.7411,4.0183389945738588E+000,3.1938335897179511E+000,3.1938335898179520E+000,0.0000000000000000E+000
0.7441,3.9712792729585851E+000,3.2027724225414316E+000,3.2027724226414325E+000,0.0000000000000000E+000
0.7471,3.9237898070731299E+000,3.2116657810287146E+000,3.2116657811287155E+000,0.0000000000000000E+000
0.7501,3.8761344934082160E+000,3.2205135387854895E+000,3.2205135388854904E+000,0.0000000000000000E+000
0.7531,3.8285795087456509E+000,3.2293155700655363E+000,3.2293155701655372E+000,0.0000000000000000E+000
0.7561,3.7813909497830513E+000,3.2380717497725056E+000,3.2380717498725065E+000,0.0000000000000000E+000
0.7591,3.7348324734578928E+000,3.2467819534617011E+000,3.2467819535617020E+000,0.0000000000000000E+000
0.7621,3.6891629589154906E+000,3.2554460573418473E+000,3.2554460574418482E+000,0.0000000000000000E+000
0.7651,3.6446342118734250E+000,3.2640639382768541E+000,3.2640639383768550E+000,0.0000000000000000E+000
0.7681,3.6014887317585829E+000,3.2726354737875538E+000,3.2726354738875547E+000,0.0000000000000000E+000
0.7711,3.5599575614358736E+000,3.2811605420534544E+000,3.2811605421534553E+000,0.0000000000000000E+000
0.7741,3.5202582386145114E+000,3.2896390219144651E+000,3.2896390220144660E+000,0.0000000000000000E+000
